OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
52423,PILOT TRAVEL CENTER #908- TOWN PUMP,"I-15 & I-90, EXIT 122",Butte,MT,816,3.56566666,3.56566666,45.902,-112.6571,1352,46.00505,-112.61172,,"PILOT TRAVEL CENTER #908- TOWN PUMP, I-15 & I-90, EXIT 122, Butte, MT",1,OK,done
52426,J MART #322,"I-65, EXIT 322",Falkville,AL,615,3.199,3.199,34.3793,-86.9086,1353,34.36333,-86.8912,,"J MART #322, I-65, EXIT 322, Falkville, AL",1,OK,done
52427,PILOT TRAVEL CENTERS #340,"I-80, EXIT 46",Fernley,NV,966,3.91566666,3.91566666,39.5627,-119.1906,1354,39.60655,-119.25257,,"PILOT TRAVEL CENTERS #340, I-80, EXIT 46, Fernley, NV",1,OK,done
52428,PILOT TRAVEL CENTERS #338,"I-26, EXIT 115 & US-321",West Columbia,SC,135,3.499,3.499,33.9932,-81.0936,1355,33.93012,-81.07771,,"PILOT TRAVEL CENTERS #338, I-26, EXIT 115 & US-321, West Columbia, SC",1,OK,done
52430,CHEVRON FOOD MART,"I-75, EXIT 350 & SR-2",Ringgold,GA,285,2.859,2.859,34.9136,-85.1215,1356,34.92808,-85.15222,,"CHEVRON FOOD MART, I-75, EXIT 350 & SR-2, Ringgold, GA",1,OK,done
52431,WOODBINE TRAVEL CENTER,"I-95, EXIT 14",Woodbine,GA,75,3.03233333,3.03233333,30.9598,-81.7176,1357,30.93949,-81.68612,,"WOODBINE TRAVEL CENTER, I-95, EXIT 14, Woodbine, GA",1,OK,done
52435,CM WINNERS CHOICE,"I-10 & SR-108, EXIT 23",Sulphur,LA,690,3.299,3.299,30.2286,-93.3566,1358,30.21131,-93.32566,,"CM WINNERS CHOICE, I-10, Sulphur, LA",2,OK,done
52438,NEW MADRID,"I-55, EXIT 52/SR-P",New Madrid,MO,275,3.269,3.269,36.5878,-89.5505,1359,36.66857,-89.53823,,"NEW MADRID, I-55, EXIT 52/SR-P, New Madrid, MO",1,OK,done
52439,CIRCLE K #2723395,US-11,Hattiesburg,MS,620,3.199,3.199,31.3074,-89.317,1360,31.2567,-89.33836,,"CIRCLE K #2723395, US-11, Hattiesburg, MS",1,OK,done
52441,PILOT #6990,"I-95, EXIT 106",Kenly,NC,205,3.709,3.709,35.5885,-78.137,1361,35.57601,-78.15084,,"PILOT #6990, I-95, EXIT 106, Kenly, NC",1,OK,done
52450,PILOT #1290,"I-35, EXIT 410 & US-77",Red Oak,TX,630,3.299,3.299,32.5212,-96.7866,1362,31.5201,-97.08513,,"PILOT #1290, I-35, EXIT 410 & US-77, Red Oak, TX",1,OK,done
