OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
63988,Petes #47,US-400/SR-47,Fredonia,KS,307,3.299,3.299,37.5327,-95.822,2028,37.52989,-95.80113,,"Petes #47, US-400/SR-47, Fredonia, KS",1,OK,done
63990,TREX MART #4,"I-229/US-59, EXIT 4B & US-36",Wathena,KS,400,2.999,2.999,39.7602,-94.9396,2029,39.75071,-94.93003,,"TREX MART #4, I-229/US-59, EXIT 4B & US-36, Wathena, KS",1,OK,done
63992,SANDRAS QUICK STOP,US-169 & US-59,Garnett,KS,485,3.319,3.319,38.2845,-95.2408,2030,38.28543,-95.24944,,"SANDRAS QUICK STOP, US-169 & US-59, Garnett, KS",1,OK,done
63994,U STOP #38,I-70 EXIT 298,Junction City,KS,553,3.35566666,3.35566666,39.0277,-96.8508,2031,39.01777,-96.81917,,"U STOP #38, I-70 EXIT 298, Junction City, KS",1,OK,done
63997,LEON GROCERY,US-400,Leon,KS,336,3.399,3.399,37.6898,-96.7837,2032,37.66434,-96.68099,,"LEON GROCERY, US-400, Leon, KS",1,OK,done
64001,PETES #53,US-400 & SR-99 & CR-939,Severy,KS,336,3.249,3.249,37.622,-96.2273,2033,37.73761,-96.22973,,"PETES #53, US-400 & SR-99 & CR-939, Severy, KS",1,OK,done
64002,SPEEDWAY #9567,"I-65, EXIT 105",Lebanon Junction,KY,415,3.16566666,3.16566666,37.8357,-85.7243,2034,37.82917,-85.72387,,"SPEEDWAY #9567, I-65, EXIT 105, Lebanon Junction, KY",1,OK,done
64003,HUCKS Food & Fuel #305,SR-9001 & WKY PKWY SERVICE AREA,Beaver Dam,KY,460,3.614,3.629,37.4042,-86.8741,2035,37.36545,-86.83808,,"HUCKS Food & Fuel #305, SR-9001 & WKY PKWY SERVICE AREA, Beaver Dam, KY",1,OK,done
64016,SHELL,US-231 & SR-1468,Morgantown,KY,487,3.799,3.799,37.2174,-86.7001,2036,37.24041,-86.69021,,"SHELL, US-231 & SR-1468, Morgantown, KY",1,OK,done
64020,LEEBOS # 9,"I-49, EXIT 90",Alexandria,LA,730,3.21566666,3.21566666,31.2923,-92.4702,2037,31.34812,-92.52506,,"LEEBOS # 9, I-49, EXIT 90, Alexandria, LA",1,OK,done
64021,CM AMITE,SR-16,Amite,LA,600,3.399,3.399,nan,nan,2038,30.72669,-90.50777,,"CM AMITE, SR-16, Amite, LA",1,OK,done
64028,DELCAMBRE FUEL DEPOT,SR-14 & SR-89,Delcambre,LA,730,2.999,2.999,29.9516,-91.9916,2039,29.95091,-91.98337,,"DELCAMBRE FUEL DEPOT, SR-14 & SR-89, Delcambre, LA",1,OK,done
64029,SUNSHINE SUPER STOP TRUCKS,"I-10, EXIT 182",Convent,LA,600,3.399,3.399,30.0132,-90.8232,2040,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
64030,STATE OIL,SR-23,Belle Chasse,LA,725,3.43233333,3.43233333,29.8558,-90.0045,2041,29.73511,-90.00924,,"STATE OIL, SR-23, Belle Chasse, LA",1,OK,done
64034,BOONES CHEVRON,SR-317,Franklin,LA,623,3.899,3.899,29.7851,-91.5098,2042,29.66219,-91.48895,,"BOONES CHEVRON, SR-317, Franklin, LA",1,OK,done
64036,CM PROSPECT STATION,SR-3087 & SR-660,Houma,LA,725,3.599,3.599,29.58,-90.7059,2043,29.63831,-90.66786,,"CM PROSPECT STATION, SR-3087 & SR-660, Houma, LA",1,OK,done
64040,PILOT #1051,"I-10, EXIT 43 & SR-383",Iowa,LA,690,3.599,3.599,30.2393,-93.013,2044,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
