OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
71239,CASEYS #3926,"I-29, EXIT 84 & SR-118",Mound City,MO,400,3.15733333,3.15733333,40.1365,-95.2337,5408,40.13244,-95.23864,,"CASEYS #3926, I-29, EXIT 84 & SR-118, Mound City, MO",1,OK,done
71240,LOVES TRAVEL STOP #764,I-24 EXIT 117 ,Hillsboro,TN,285,3.32566666,3.32566666,35.4085,-85.9639,5409,35.36012,-85.95884,,"I-24 EXIT 117, Hillsboro, TN",4,OK,done
71241,WEIGLES #58,"I-40, Exit 356A & SR-58",Kingston,TN,405,3.169,3.169,35.8713,-84.4959,5410,35.87387,-84.51474,,"WEIGLES #58, I-40, Exit 356A & SR-58, Kingston, TN",1,OK,done
71242,LAST STOP TRAVEL CENTER,US-93,Willow Beach,AZ,910,3.49566666,3.49566666,nan,nan,5411,35.71518,-114.48383,,"LAST STOP TRAVEL CENTER, US-93, Willow Beach, AZ",1,OK,done
71244,MAVERIK COUNTRY STORE #644,"I-84/I-15, EXIT 344 & SR-39",Ogden,UT,835,3.37233333,3.37233333,41.2279,-111.9682,5412,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
71245,MAVERIK COUNTRY STORE #651,"I-15, EXIT 67 & US-30",Pocatello,ID,825,3.40233333,3.40233333,42.8724,-112.4647,5413,42.87394,-112.42415,,"MAVERIK COUNTRY STORE #651, I-15, EXIT 67 & US-30, Pocatello, ID",1,OK,done
71246,TOOT N TOTUM #99,I-40 EXIT 75,Amarillo,TX,585,3.04566666,3.04566666,35.1984,-101.8316,5414,35.19401,-101.74389,,"TOOT N TOTUM #99, I-40 EXIT 75, Amarillo, TX",1,OK,done
71247,LOVES TRAVEL STOP #848,"I-59, Exit 104",Sandersville,MS,705,3.16233333,3.16233333,31.7879,-89.0362,5415,31.78184,-89.05562,,"LOVES TRAVEL STOP #848, I-59, Exit 104, Sandersville, MS",1,OK,done
71248,RACETRAC #2560,"I-4, EXIT-55",Davenport,FL,140,3.289,3.289,28.1587,-81.6083,5416,28.15829,-81.63871,,"RACETRAC #2560, I-4, EXIT-55, Davenport, FL",1,OK,done
71249,RACETRAC #2589,"I-20, EXIT 185",Oxford,AL,587,2.999,2.999,33.5967,-85.8687,5417,33.60272,-85.83167,,"RACETRAC #2589, I-20, EXIT 185, Oxford, AL",1,OK,done
71250,NAVAJO BLUE TRAVEL CENTER,I-40 EXIT 219,Flagstaff,AZ,930,3.609,3.609,35.1872,-111.6194,5418,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
71251,RUTTERS #91,US-30 & SR-772,Gap,PA,208,4.199,4.199,39.9888,-76.0212,5419,39.98541,-76.01798,,"RUTTERS #91, US-30 & SR-772, Gap, PA",1,OK,done
71252,QUIKTRIP #1178,"I-26, EXIT 54 & SR-72",Clinton,SC,210,3.099,3.099,34.4781,-81.8638,5420,34.49499,-81.84207,,"QUIKTRIP #1178, I-26, EXIT 54 & SR-72, Clinton, SC",1,OK,done
71253,QUIKTRIP #4066,"I-35, EXIT 122 & SR-173",Devine,TX,740,2.96566666,2.96566666,29.1456,-98.9049,5421,29.1398,-98.90526,,"QUIKTRIP #4066, I-35, EXIT 122 & SR-173, Devine, TX",1,OK,done
71255,Fuel N Treat,"I-70/US-40, EXIT 84 & CR-J",Nelson,MO,401,3.284,3.284,38.9946,-93.0308,5422,38.95381,-93.08713,,"Fuel N Treat, I-70/US-40, EXIT 84 & CR-J, Nelson, MO",1,OK,done
71256,SIGNAL FOOD STORE #120,US-60,Seymour,MO,535,3.02566666,3.02566666,37.1473,-92.7689,5423,37.14984,-92.75226,,"SIGNAL FOOD STORE #120, US-60, Seymour, MO",1,OK,done
71257,FARMERS UNION SOUTHERN VALLEY,US-75 & SR-210,Wahpeton,ND,341,3.499,3.499,46.2722,-96.6118,5424,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
71259,LOVES TRAVEL STOP #846,I-10 EXIT 10,Irvington,AL,715,3.16566666,3.16566666,nan,nan,5425,30.53201,-88.23747,,"LOVES TRAVEL STOP #846, I-10 EXIT 10, Irvington, AL",1,OK,done
71260,LOVES TRAVEL STOP #881,US HWY 224 & OH 225,Diamond,OH,573,3.45233333,3.45233333,nan,nan,5426,41.10752,-81.04969,,"LOVES TRAVEL STOP #881, US HWY 224 & OH 225, Diamond, OH",1,OK,done
71261,Una Travel Center,I-94 EXIT 228,Roseville,MI,325,3.899,3.899,42.5074,-82.9369,5427,42.50727,-82.9183,,"Una Travel Center, I-94 EXIT 228, Roseville, MI",1,OK,done
71262,LOVES TRAVEL STOP #892,"I-70, EXIT 118 & SR-310",Etna,OH,315,3.46066666,3.46066666,39.9544,-82.6878,5428,41.91396,-80.57052,,"LOVES TRAVEL STOP #892, I-70 EXIT 118, Etna, OH",2,OK,done
71263,Loves Travel Stop # 660,"I-25, Exit 49",Walsenburg,CO,796,4.249,4.249,37.6307,-104.7818,5429,37.61661,-104.75528,,"Loves Travel Stop # 660, I-25, Exit 49, Walsenburg, CO",1,OK,done
71264,MAVERIK COUNTRY STORE #649,I-25/US-85 EXIT 220 & SR-500,Albuquerque,NM,580,3.20566666,3.20566666,35.1054,-106.6465,5430,35.02626,-106.65391,,"MAVERIK COUNTRY STORE #649, I-25/US-85 EXIT 220 & SR-500, Albuquerque, NM",1,OK,done
71265,U SAVE FOOD STORES 1,SR-39/SR-55,Richwood,WV,44,3.599,3.599,38.2221,-80.5363,5431,38.2242,-80.56908,,"U SAVE FOOD STORES 1, SR-39/SR-55, Richwood, WV",1,OK,done
71266,LOVES TRAVEL STOP #787,"I-81, EXIT 30 & SR-70 ",Mosheim,TN,405,3.55566666,3.55566666,36.1955,-82.9655,5432,36.27616,-82.92519,,"LOVES TRAVEL STOP #787, I-81, EXIT 30 & SR-70 , Mosheim, TN",1,OK,done
71267,LOVES TRAVEL STOP #878,"US-131/SR-43, EXIT 44",Kalamazoo,MI,431,3.642333333333333,3.689,42.2749,-85.5882,5433,42.37525,-85.65953,,"LOVES TRAVEL STOP #878, US-131/SR-43, EXIT 44, Kalamazoo, MI",1,OK,done
71268,MAVERIK COUNTRY STORE #650,SR 85 & W 900 S,West Jordan,UT,835,3.43233333,3.43233333,40.6024,-112.0008,5434,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
71269,Maverik Country Store #652,I-84 & SR 79,Jerome,ID,787,3.394,3.394,42.7179,-114.5159,5435,42.71516,-114.50956,,"Maverik Country Store #652, I-84 & SR 79, Jerome, ID",1,OK,done
