OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
72182,LULING MINI MART,I-10 Exit 628 & SR-80,Luling,TX,595,2.96566666,2.96566666,29.6814,-97.6468,6084,29.67406,-97.64865,,"LULING MINI MART, I-10 Exit 628 & SR-80, Luling, TX",1,OK,done
72184,MACS 33,US-49,Florence,MS,620,2.899,2.899,32.1557,-90.1225,6085,32.11056,-90.05744,,"MACS 33, US-49, Florence, MS",1,OK,done
72185,Circle K #2709332,US-231/SR-53,Montgomery,AL,720,3.259,3.259,32.3482,-86.2668,6086,32.28513,-86.18489,,"Circle K #2709332, US-231/SR-53, Montgomery, AL",1,OK,done
72188,MARATHON,US-61 & SR-637,Reserve,LA,623,3.749,3.749,30.0741,-90.5557,6087,30.05873,-90.59157,,"MARATHON, US-61 & SR-637, Reserve, LA",1,OK,done
72189,MARATHON,I-75 & CR-20,Middletown,OH,317,3.21566666,3.21566666,39.5033,-84.3659,6088,39.58235,-84.54905,,"MARATHON, I-75 & CR-20, Middletown, OH",1,OK,done
72190,Minuteman Food Mart #37,US-74,Leland,NC,245,3.389,3.389,34.2042,-78.0279,6089,34.28963,-78.15519,,"Minuteman Food Mart #37, US-74, Leland, NC",1,OK,done
72191,MARATHON RIVERSIDE GAS,I-80 & CR-6,Elkhart,IN,465,3.499,3.499,41.6916,-85.9627,6090,41.68594,-85.98331,,"MARATHON RIVERSIDE GAS, I-80 & CR-6, Elkhart, IN",1,OK,done
72192,MASSEY FUEL,"I-95, EXIT 30",Bridgeport,CT,100,3.399,3.399,41.1918,-73.1954,6091,41.1754,-73.15911,,"MASSEY FUEL, I-95, EXIT 30, Bridgeport, CT",1,OK,done
72193,MERRIMAN COUNTRY STORE,SR-1 & CR-3700,Allen,OK,569,3.099,3.099,34.8776,-96.4129,6092,34.87221,-96.41739,,"MERRIMAN COUNTRY STORE, Allen, OK",3,OK,done
72194,Mobil,I-57,Riverdale,IL,365,3.699,3.699,41.6441,-87.6366,6093,41.66323,-87.66056,,"Mobil, I-57, Riverdale, IL",1,OK,done
72195,MOBIL,US-46,Columbia,NJ,90,3.079,3.079,40.926,-75.0945,6094,40.88977,-75.06372,,"MOBIL, US-46, Columbia, NJ",1,OK,done
72196,MORGAN OIL,US-224 & CR-231,Lowellville,OH,573,3.399,3.399,41.039,-80.5463,6095,41.02358,-80.52112,,"MORGAN OIL, US-224 & CR-231, Lowellville, OH",1,OK,done
72197,MOTOMART #3369,SR-370 E,Saint Charles,MO,540,3.04233333,3.04233333,nan,nan,6096,38.7741,-90.49024,,"MOTOMART #3369, SR-370 E, Saint Charles, MO",1,OK,done
72199,MPC #99A,I-270 Exit 22B,Hazelwood,MO,540,3.059,3.059,38.7931,-90.3899,6097,38.77304,-90.40015,,"MPC #99A, I-270 Exit 22B, Hazelwood, MO",1,OK,done
72200,Swift Mart,I-55/SR-7 & US-51,Grenada,MS,655,3.36566666,3.36566666,33.7816,-89.813,6098,33.85842,-89.84726,,"Swift Mart, I-55/SR-7 & US-51, Grenada, MS",1,OK,done
72201,MUDD CREEK COUNTRY STORE,US-79,Franklin,TX,670,3.194,3.194,31.025,-96.4876,6099,31.02437,-96.48773,,"US-79, Franklin, TX",4,OK,done
72202,MUSTANG MARKET,I-80 Exit 73,Sparks,NV,966,4.199,4.199,39.5736,-119.7161,6100,39.52753,-119.70872,,"MUSTANG MARKET, I-80 Exit 73, Sparks, NV",1,OK,done
72205,NIC'S,SR-97,Bainbridge,GA,20,3.379,3.379,30.9052,-84.5732,6101,30.88397,-84.59506,,"NIC'S, SR-97, Bainbridge, GA",1,OK,done
72206,NORTHLAKE BP,I-294 & US-45,Melrose Park,IL,290,3.649,3.699,41.903,-87.8636,6102,41.90347,-87.88761,,"NORTHLAKE BP, I-294 & US-45, Melrose Park, IL",1,OK,done
72207,NZT,I-294,Alsip,IL,365,3.489,3.589,41.6701,-87.7368,6103,41.66551,-87.74885,,"NZT, I-294, Alsip, IL",1,OK,done
