OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
70306,KWIK STAR #1001,US-6,Newton,IA,320,3.249,3.249,41.6963,-93.0403,4732,41.69955,-93.02756,,"KWIK STAR #1001, US-6, Newton, IA",1,OK,done
70307,KWIK TRIP #592,"I-35, EXIT 159 & CR-1",Rush City,MN,451,3.37733333,3.37733333,45.6875,-92.9655,4733,45.68465,-92.97053,,"KWIK TRIP #592, I-35, EXIT 159 & CR-1, Rush City, MN",1,OK,done
70308,KWIK TRIP #946,SR-32,Pulaski,WI,582,3.45733333,3.45733333,44.6684,-88.2351,4734,44.70326,-88.24379,,"KWIK TRIP #946, SR-32, Pulaski, WI",1,OK,done
70309,PILOT #1165,SR-18 & SR-128,Jal,NM,593,3.36566666,3.36566666,32.1148,-103.19,4735,32.12316,-103.21956,,"PILOT #1165, SR-18 & SR-128, Jal, NM",1,OK,done
70310,LANCASTER CONVENIENCE,US-2 & US-70,Lancaster,MA,34,3.70566666,3.70566666,nan,nan,4736,53.5508,-1.49241,,"LANCASTER CONVENIENCE, US-2, Lancaster, MA",2,OK,done
70311,RACING MART,SR-8,Adams,MA,215,3.699,3.699,nan,nan,4737,42.65376,-73.1111,,"RACING MART, SR-8, Adams, MA",1,OK,done
70313,Flyer's #3207,"SR-143, EXIT 2",Phoenix,AZ,930,3.389,3.389,33.5722,-112.0892,4738,33.41792,-111.84811,,"Flyer's #3207, SR-143, EXIT 2, Phoenix, AZ",1,OK,done
70314,CASEYS #2721,US-34,Lincoln,NE,413,3.3365,3.3365,40.8099,-96.6784,4739,40.8134,-96.68152,,"CASEYS #2721, US-34, Lincoln, NE",1,OK,done
70318,LOVES TRAVEL STOP #738,"I-30/US-67, EXIT 122 & SR-19/SR-11",Sulphur Springs,TX,723,3.309,3.309,33.1421,-95.6122,4740,33.17909,-95.59006,,"LOVES TRAVEL STOP #738, I-30/US-67, EXIT 122 & SR-19/SR-11, Sulphur Springs, TX",1,OK,done
70319,SPEEDWAY #3650,"I-76, EXIT 11 & SR-261",Wadsworth,OH,305,3.699,3.699,41.0279,-81.7323,4741,41.04636,-81.68808,,"SPEEDWAY #3650, I-76, EXIT 11 & SR-261, Wadsworth, OH",1,OK,done
70320,SPEEDWAY #7177,"I-24, EXIT 158 & SR-27",Jasper,TN,285,3.014,3.014,35.0663,-85.6227,4742,35.03929,-85.57909,,"SPEEDWAY #7177, I-24, EXIT 158 & SR-27, Jasper, TN",1,OK,done
70321,PILOT TRAVEL CENTER #1132,SR-171 & SR-78,Brawley,CA,900,4.829000000000001,4.899,32.9783,-115.5287,4743,33.37422,-116.01803,,"SR-171, Brawley, CA",4,OK,done
70322,INDIAN HILL IRVING,SR 6,Greenville,ME,170,3.86566666,3.86566666,nan,nan,4744,45.42641,-69.59289,,"SR 6, Greenville, ME",4,OK,done
70323,LOVES TRAVEL STOP #750,I-74 EXIT 206,Oakwood,IL,280,3.488999999999999,3.589,40.1101,-87.7769,4745,40.13076,-87.77786,,"LOVES TRAVEL STOP #750, I-74 EXIT 206, Oakwood, IL",1,OK,done
70324,LOVES TRAVEL STOP #729,CR-17 & US-20,Goshen,IN,465,3.72233333,3.72233333,41.5743,-85.8309,4746,41.66587,-85.88834,,"LOVES TRAVEL STOP #729, CR-17 & US-20, Goshen, IN",1,OK,done
70325,KWIK STAR #927,US-169 & US-169 BUS/US-20 BUS,Fort Dodge,IA,433,3.20233333,3.20233333,42.5098,-94.1751,4747,42.50167,-94.19731,,"KWIK STAR #927, US-169 & US-169 BUS/US-20 BUS, Fort Dodge, IA",1,OK,done
70326,PILOT #1207,"I-20, EXIT 79 & SR-464",Monahans,TX,710,3.46566666,3.46566666,31.6289,-103.0403,4748,31.57688,-102.88328,,"PILOT #1207, I-20, EXIT 79 & SR-464, Monahans, TX",1,OK,done
70328,Thorntons #7,US-12 & US-45,Franklin Park,IL,290,3.462333333333333,3.679,41.9361,-87.8794,4749,41.9392,-87.88505,,"Thorntons #7, US-12 & US-45, Franklin Park, IL",1,OK,done
70329,1 STOP TRAVEL PLAZA,US-14 & US-83,Pierre,SD,571,3.38233333,3.38233333,44.3748,-100.3205,4750,44.40133,-100.29311,,"1 STOP TRAVEL PLAZA, US-14 & US-83, Pierre, SD",1,OK,done
70331,LOVES TRAVEL STOP #707,"I-64, EXIT 21",Covington,VA,185,3.649,3.649,37.7786,-79.9867,4751,37.79382,-79.88319,,"LOVES TRAVEL STOP #707, I-64, EXIT 21, Covington, VA",1,OK,done
70332,FLYING J #1201,HWY 10 & HWY 9,Inglewood,ON,720,4.202699549999999,4.20445208,nan,nan,4752,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
70333,KWIK STAR #932,"I-80, EXIT 143 & CR-S14",Altoona,IA,320,2.959,2.959,41.6483,-93.4783,4753,41.65261,-93.46438,,"KWIK STAR #932, I-80, EXIT 143 & CR-S14, Altoona, IA",1,OK,done
70334,KWIK TRIP #1021,SR-11 & CR-E,Brodhead,WI,420,3.41566666,3.41566666,42.6168,-89.3756,4754,42.62028,-89.37703,,"KWIK TRIP #1021, SR-11 & CR-E, Brodhead, WI",1,OK,done
70335,PILOT #1200,HWY 43,Valleyview,AB,80,4.62238967,4.62238967,nan,nan,4755,53.68937,-113.59525,,"PILOT #1200, HWY 43, Valleyview, AB",1,OK,done
70336,SPEEDWAY #3962,"I-39,  EXIT 3 & SR-9",Roscoe,IL,293,3.469,3.469,42.4256,-89.0084,4756,42.45639,-89.00088,,"SPEEDWAY #3962, I-39,  EXIT 3 & SR-9, Roscoe, IL",1,OK,done
70337,LOVES TRAVEL STOP #700,I-10 EXIT 404 & SR-467,Sonora,TX,710,3.64733333,3.64733333,30.5707,-100.6423,4757,30.57122,-100.58516,,"LOVES TRAVEL STOP #700, I-10 EXIT 404 & SR-467, Sonora, TX",1,OK,done
70338,LOVES TRAVEL STOP #747,"I-75, EXIT 90",Sidney,OH,411,3.34566666,3.34566666,40.2891,-84.1667,4758,40.26624,-84.18606,,"LOVES TRAVEL STOP #747, I-75, EXIT 90, Sidney, OH",1,OK,done
70339,FLYING J #1197,HWY 3,Jaffray,BC,50,4.790921003333334,4.79768679,nan,nan,4759,49.37633,-115.29818,,"FLYING J #1197, HWY 3, Jaffray, BC",1,OK,done
70340,PIT STOP,SR-53 & SR-74,Joliet,IL,399,3.499,3.499,41.5188,-88.1499,4760,41.52231,-88.08135,,"PIT STOP, SR-53 & SR-74, Joliet, IL",1,OK,done
70341,LOVES TRAVEL STOP #741,US-29,Reidsville,NC,65,3.999,3.999,36.3376,-79.6725,4761,36.32654,-79.64084,,"LOVES TRAVEL STOP #741, US-29, Reidsville, NC",1,OK,done
70342,AF TRUCK CENTER,"I-294, EXIT 33 & SR-64",Melrose Park,IL,293,3.459,3.459,41.903,-87.8636,4762,41.90862,-87.91785,,"AF TRUCK CENTER, I-294, EXIT 33 & SR-64, Melrose Park, IL",1,OK,done
70343,PILOT TRAVEL CENTER #1103,"I-5, EXIT 208 & SR-530",Arlington,WA,962,4.559,4.559,48.1701,-122.1442,4763,48.18761,-122.19654,,"PILOT TRAVEL CENTER #1103, I-5, EXIT 208 & SR-530, Arlington, WA",1,OK,done
70344,KWIK TRIP #928,US-169,Princeton,MN,451,3.399,3.399,45.5688,-93.5899,4764,45.55587,-93.58496,,"KWIK TRIP #928, US-169, Princeton, MN",1,OK,done
70345,LOVES TRAVEL STOP #742,"I-196, EXIT 52",Holland,MI,406,4.089,4.089,42.7677,-86.0984,4765,42.78307,-86.02313,,"LOVES TRAVEL STOP #742, I-196, EXIT 52, Holland, MI",1,OK,done
70346,Kwik Star #924,SR-17 & US-20 EXIT 140,Webster City,IA,433,3.20233333,3.20233333,42.4622,-93.8168,4766,42.44899,-93.82317,,"Kwik Star #924, SR-17 & US-20 EXIT 140, Webster City, IA",1,OK,done
70349,WEIGELS #90,SR-139 & SR-66,Kodak,TN,405,3.199,3.199,nan,nan,4767,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
70350,CIRCLE K #2741859,CR-802,Brownsville,TX,665,3.029,3.029,25.9975,-97.458,4768,25.94451,-97.54375,,"CIRCLE K #2741859, CR-802, Brownsville, TX",1,OK,done
70351,MAVERIK COUNTRY STORE #606,US-91,Franklin,ID,825,3.579,3.579,42.0124,-111.8036,4769,42.03464,-111.81258,,"US-91, Franklin, ID",4,OK,done
70352,KWIK TRIP #1019,CR-5 & SR-65,Isanti,MN,448,3.474,3.474,45.4925,-93.2408,4770,45.49305,-93.23561,,"KWIK TRIP #1019, CR-5 & SR-65, Isanti, MN",1,OK,done
70353,ASAP General Store #314,"US-62, US-81, SR-9",Chickasha,OK,483,3.13233333,3.13233333,35.0409,-97.9474,4771,35.05268,-97.93587,,"ASAP General Store #314, US-62, US-81, SR-9, Chickasha, OK",1,OK,done
70357,Certified Oil #400489,"I-71, EXIT 104",Columbus,OH,315,3.409,3.409,39.9862,-82.9855,4772,39.91098,-83.1184,,"Certified Oil #400489, I-71, EXIT 104, Columbus, OH",1,OK,done
70358,FOOD N FUEL #25,SR-15 & US-12,Milbank,SD,248,3.369,3.369,45.2195,-96.6338,4773,45.21895,-96.6408,,"FOOD N FUEL #25, SR-15 & US-12, Milbank, SD",1,OK,done
70359,PILOT # 1185,"I-15, EXIT 9   3",Littlefield,AZ,910,3.699,3.709,36.8659,-113.936,4774,36.89511,-113.91191,,"PILOT # 1185, I-15, EXIT 9   3, Littlefield, AZ",1,OK,done
70360,MAVERIK COUNTRY STORE #595,"I-84, EXIT 28",Caldwell,ID,785,3.369,3.369,43.6453,-116.6594,4775,43.68535,-116.69031,,"MAVERIK COUNTRY STORE #595, I-84, EXIT 28, Caldwell, ID",1,OK,done
