OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
70769,CASEYS #3527,US-169 & US-60,Nowata,OK,307,3.18233333,3.18233333,36.6985,-95.6372,5070,36.7004,-95.63708,,"CASEYS #3527, US-169 & US-60, Nowata, OK",1,OK,done
70770,CASEYS #3528,SR-92,Washington,IA,380,3.271,3.271,41.2981,-91.6928,5071,41.29739,-91.69052,,"CASEYS #3528, SR-92, Washington, IA",1,OK,done
70771,CASEYS #3545,US-14/CR-27,Sleepy Eye,MN,425,3.33233333,3.33233333,44.299,-94.7234,5072,44.29669,-94.73573,,"CASEYS #3545, US-14/CR-27, Sleepy Eye, MN",1,OK,done
70772,CASEYS #3554,"I-70, EXIT 52",Mulberry Grove,IL,368,3.489,3.489,38.9245,-89.2662,5073,38.91387,-89.27409,,"CASEYS #3554, I-70, EXIT 52, Mulberry Grove, IL",1,OK,done
70773,CASEYS #3575,US-36,Seneca,KS,413,3.159,3.159,39.838,-96.0696,5074,39.84082,-96.07158,,"CASEYS #3575, US-36, Seneca, KS",1,OK,done
70774,CASEYS #3079,"US-20, EXIT 71 & US-71",Early,IA,440,3.299,3.299,42.461,-95.1526,5075,42.47327,-95.15603,,"CASEYS #3079, US-20, EXIT 71 & US-71, Early, IA",1,OK,done
70775,CASEYS #3576,US-56,Overbrook,KS,400,3.19566666,3.19566666,38.7794,-95.5569,5076,38.78258,-95.60502,,"CASEYS #3576, US-56, Overbrook, KS",1,OK,done
70776,CASEYS #3579,US-36,Smith Center,KS,330,3.179,3.179,39.774,-98.7831,5077,39.78483,-98.78825,,"CASEYS #3579, US-36, Smith Center, KS",1,OK,done
70778,CASEYS #3588,"I-75 N, EXIT 69",Tipp City,OH,411,3.099,3.099,39.9644,-84.1866,5078,39.98151,-84.19709,,"CASEYS #3588, I-75 N, EXIT 69, Tipp City, OH",1,OK,done
70779,CASEYS #3204,"I-80, EXIT 29 & I-880, EXIT 29A",Minden,IA,319,3.159,3.159,41.47,-95.5429,5079,41.49582,-94.45639,,"CASEYS #3204, I-80, EXIT 29 & I-880, EXIT 29A, Minden, IA",1,OK,done
70780,CASEYS #3306,SR-15 & CR-47/CR-136,Saint Cloud,MN,522,3.249,3.249,nan,nan,5080,45.5655,-94.04908,,"CASEYS #3306, SR-15 & CR-47/CR-136, Saint Cloud, MN",1,OK,done
