OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
71657,CASEYS #2855,US HWY 63,Cabool,MO,535,3.259,3.259,37.1262,-92.1032,5746,37.14609,-92.07438,,"CASEYS #2855, US HWY 63, Cabool, MO",1,OK,done
71659,Loves Travel Stop #646,"I-84, Exit 71",Willington,CT,100,4.359,4.359,nan,nan,5747,41.92592,-72.25922,,"Loves Travel Stop #646, I-84, Exit 71, Willington, CT",1,OK,done
71661,Loves Travel Stop #822,"I-40,  Exit 57 & S Crawford St",Clarksville,AR,695,3.39233333,3.39233333,35.457,-93.4803,5748,35.46059,-93.48075,,"Loves Travel Stop #822, I-40,  Exit 57 & S Crawford St, Clarksville, AR",1,OK,done
71662,PUMP & PANTRY #33,SR-22/39,Genoa,NE,330,3.289,3.289,41.4462,-97.7322,5749,41.44814,-97.73223,,"PUMP & PANTRY #33, SR-22/39, Genoa, NE",1,OK,done
71663,Allsups #2388,I-27 & SR-217,Canyon,TX,585,2.90066666,2.90066666,34.9911,-101.919,5750,34.97969,-101.91815,,"Allsups #2388, I-27 & SR-217, Canyon, TX",1,OK,done
71664,RUTTERS #95,SR-9,Martinsburg,WV,22,3.999,3.999,39.4582,-77.9776,5751,39.46493,-77.95954,,"RUTTERS #95, SR-9, Martinsburg, WV",1,OK,done
71666,Circle K#2746513,SR-13/SIOUX TRL,Savage,MN,448,3.799,3.799,44.7545,-93.3632,5752,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
71667,7-Eleven #38986,"I-75, EXIT 301 & US-98",Brooksville,FL,225,3.399,3.399,28.5404,-82.3903,5753,28.55478,-82.38798,,"7-Eleven #38986, I-75, EXIT 301 & US-98, Brooksville, FL",1,OK,done
71668,7-ELEVEN #41572,I-77 & US-70,Statesville,NC,46,2.859,2.859,35.7842,-80.8713,5754,35.8152,-80.8762,,"7-ELEVEN #41572, I-77 & US-70, Statesville, NC",1,OK,done
71672,7-ELEVEN #41573,US-67,Glen Rose,TX,765,3.589,3.589,32.2461,-97.7442,5755,32.21901,-97.78509,,"7-ELEVEN #41573, US-67, Glen Rose, TX",1,OK,done
71673,7-ELEVEN #41792,"I-85, EXIT 27",Anderson,SC,30,2.959,2.959,34.5211,-82.6478,5756,34.5287,-82.83957,,"7-ELEVEN #41792, I-85, EXIT 27, Anderson, SC",1,OK,done
71674,Kwik Trip #1177,SR-65,Cambridge,MN,451,3.424,3.424,45.5612,-93.2283,5757,45.53772,-93.23109,,"Kwik Trip #1177, SR-65, Cambridge, MN",1,OK,done
71676,CIRCLE K #4702409,US-52,Lafayette,IN,375,3.15733333,3.15733333,40.3991,-86.8593,5758,40.41964,-86.96539,,"CIRCLE K #4702409, US-52, Lafayette, IN",1,OK,done
71679,TOOT N TOTUM #22,FM 1541 & FM 1151,Amarillo,TX,585,2.96733333,2.96733333,35.1984,-101.8316,5759,35.09152,-101.82274,,"TOOT N TOTUM #22, FM 1541 & FM 1151, Amarillo, TX",1,OK,done
71680,Alexs Shelby Truck Stop,US HWY 278 & SR 32,Shelby,MS,655,3.199,3.199,33.9508,-90.7653,5760,33.95243,-90.74719,,"Alexs Shelby Truck Stop, US HWY 278 & SR 32, Shelby, MS",1,OK,done
71681,WASPYS TRUCK STOP,US-71,Audubon,IA,319,3.31566666,3.31566666,41.718,-94.9284,5761,41.71716,-94.93201,,"WASPYS TRUCK STOP, US-71, Audubon, IA",1,OK,done
71682,Gas N Wash,"SR 83, SR 50, I-294",Alsip,IL,365,3.399,3.499,41.6701,-87.7368,5762,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
71683,GAS N WASH,US HWY 6,Joliet,IL,365,3.799,3.799,41.5188,-88.1499,5763,41.56481,-88.27368,,"GAS N WASH, US HWY 6, Joliet, IL",1,OK,done
71685,ON THE ROAD 110,US-59,Diboll,TX,618,3.199,3.199,31.1873,-94.7833,5764,31.2184,-94.77193,,"ON THE ROAD 110, US-59, Diboll, TX",1,OK,done
71686,Allsups #2391,I-20 Exit 269,Merkel,TX,575,2.87566666,2.87566666,32.4698,-100.0111,5765,32.47704,-100.01108,,"Allsups #2391, I-20 Exit 269, Merkel, TX",1,OK,done
71687,ALLSUPS #2386,I-20 EXIT 216,Colorado City,TX,612,2.94233333,2.94233333,32.3996,-100.8582,5766,32.4122,-100.85679,,"ALLSUPS #2386, I-20 EXIT 216, Colorado City, TX",1,OK,done
71688,KWIK TRIP #1151,"I-90, EXIT 183 & CR-BT",Beloit,WI,420,3.374,3.374,42.523,-89.0184,5767,42.55379,-89.01037,,"KWIK TRIP #1151, I-90, EXIT 183 & CR-BT, Beloit, WI",1,OK,done
71689,KWIK TRIP #1108,"I-41/US-45, EXIT 52 & SR-164",Colgate,WI,444,3.24733333,3.24733333,nan,nan,5768,43.1922,-88.26251,,"KWIK TRIP #1108, I-41/US-45, EXIT 52 & SR-164, Colgate, WI",1,OK,done
71691,ALLSUPS #2399,US-287 & SR-207,Claude,TX,585,2.929,2.929,35.1075,-101.3629,5769,35.18317,-101.61282,,"ALLSUPS #2399, US-287 & SR-207, Claude, TX",1,OK,done
71692,GXP #200,"I-85/SR-403, EXIT 140 & SR-82",Jefferson,GA,16,3.239,3.239,34.1373,-83.6021,5770,34.0769,-83.56438,,"GXP #200, I-85/SR-403, EXIT 140 & SR-82, Jefferson, GA",1,OK,done
