OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
65066,HURLOCK CITGO,SR-392 & SR-331,Hurlock,MD,194,3.259,3.259,38.6268,-75.864,2366,38.63,-75.85539,,"HURLOCK CITGO, SR-392 & SR-331, Hurlock, MD",1,OK,done
65067,SUNOCO,US-301,Newburg,MD,60,3.379,3.379,nan,nan,2367,38.36648,-76.96857,,"SUNOCO, US-301, Newburg, MD",1,OK,done
65069,CIRCLE K #4707056,"I-95, EXIT 75",Auburn,ME,170,3.899,3.899,44.0851,-70.2492,2368,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
65074,CIRCLE K #4707004,"I-95, EXIT 244 & SR-157",Medway,ME,170,3.50233333,3.50233333,nan,nan,2369,45.59623,-68.5351,,"CIRCLE K #4707004, I-95, EXIT 244 & SR-157, Medway, ME",1,OK,done
65075,CIRCLE K #4707017,"I-95, EXIT 48",Portland,ME,170,3.74233333,3.74233333,43.6773,-70.2715,2370,43.68547,-70.32857,,"CIRCLE K #4707017, Portland, ME",3,OK,done
65083,SUNOCO,"I-75, EXIT 34B",Riverview,MI,325,3.639,3.639,42.1723,-83.1946,2371,42.1762,-83.24353,,"SUNOCO, I-75, EXIT 34B, Riverview, MI",1,OK,done
65084,BEACON & BRIDGE #19,US-131 & SR-115,Cadillac,MI,260,3.259,3.279,44.2493,-85.4164,2372,44.20207,-85.4063,,"BEACON & BRIDGE #19, US-131 & SR-115, Cadillac, MI",1,OK,done
65086,FRED MOORE BP,"I-94, EXIT 257",Casco,MI,325,4.099,4.099,nan,nan,2373,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
65088,Circle K #2746528,US-41/SR-28 & SR-95,Champion,MI,360,3.819,3.819,nan,nan,2374,46.49281,-87.81598,,"Circle K #2746528, US-41/SR-28 & SR-95, Champion, MI",1,OK,done
65091,WYOMING FUEL PLAZA,"I-94, EXIT 210A",Dearborn,MI,325,3.599,3.599,42.3127,-83.213,2375,42.32885,-83.1567,,"WYOMING FUEL PLAZA, I-94, EXIT 210A, Dearborn, MI",1,OK,done
65092,BP,"I-94 & US-12, EXIT 210",Dearborn,MI,325,3.659,4.099,42.3127,-83.213,2376,42.31913,-83.16642,,"BP, I-94 & US-12, EXIT 210, Dearborn, MI",1,OK,done
65094,MARATHON,"I-75 & SR-32, EXIT 282",Gaylord,MI,287,3.814,3.829,45.0208,-84.6809,2377,45.02784,-84.70244,,"MARATHON, I-75 & SR-32, EXIT 282, Gaylord, MI",1,OK,done
65108,PICKLEMANS ONE STOP-ZEPHYR,ST 28,Newberry,MI,360,3.699,3.699,46.3538,-85.5098,2378,46.30304,-85.51151,,"PICKLEMANS ONE STOP-ZEPHYR, ST 28, Newberry, MI",1,OK,done
65113,NORTHWIND TRAVEL CENTER,"US-131, EXIT 153 & US-10",Reed City,MI,456,3.5490000000000004,3.599,43.8725,-85.5068,2379,43.87644,-85.51012,,"NORTHWIND TRAVEL CENTER, US-131, EXIT 153 & US-10, Reed City, MI",1,OK,done
65121,BP TRAVEL CENTER AND TRUCK PLAZA,"I-275, EXIT 20",Belleville,MI,325,4.199,4.199,42.2022,-83.4839,2380,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
65127,PITSTOP MOBIL MART,"I-196, EXIT 72",Wyoming,MI,456,3.674,3.799,42.8908,-85.7066,2381,42.86316,-85.72255,,"PITSTOP MOBIL MART, I-196, EXIT 72, Wyoming, MI",1,OK,done
65129,HOLIDAY STATIONSTORE #2746345,"I-94, EXIT 103/US-52 & SR-29",Alexandria,MN,250,3.499,3.499,45.8776,-95.3767,2382,45.88919,-95.37349,,"HOLIDAY STATIONSTORE #2746345, I-94, EXIT 103/US-52 & SR-29, Alexandria, MN",1,OK,done
65132,PETES PLACE SOUTH,US-71 & US-2,Bemidji,MN,355,3.41566666,3.41566666,47.4828,-94.8797,2383,47.42908,-94.86483,,"PETES PLACE SOUTH, US-71 & US-2, Bemidji, MN",1,OK,done
65135,CIRCLE K #3819,SR-7,Clara City,MN,432,3.33233333,3.33233333,44.9576,-95.3671,2384,44.9448,-95.34815,,"CIRCLE K #3819, SR-7, Clara City, MN",1,OK,done
65136,HOLIDAY STATIONSTORE #2746422,"I-35, EXIT 253B",Duluth,MN,334,3.499,3.499,46.7756,-92.1393,2385,46.76036,-92.12929,,"HOLIDAY STATIONSTORE #2746422, I-35, EXIT 253B, Duluth, MN",1,OK,done
65141,KWIK TRIP #619,US-14 & ST-57,Kasson,MN,515,3.549,3.549,44.0333,-92.7479,2386,44.02151,-92.74694,,"KWIK TRIP #619, US-14 & ST-57, Kasson, MN",1,OK,done
65142,HOLIDAY STATIONSTORE #2746376,"I-35W, EXIT 36 & CR-23",Circle Pines,MN,448,3.549,3.549,45.1409,-93.1505,2387,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
65153,7Fleet #46516,"I-75, EXIT 164",Waite Park,MN,250,3.459,3.459,45.5313,-94.2528,2388,45.55497,-94.22564,,"7Fleet #46516, I-75, EXIT 164, Waite Park, MN",1,OK,done
65162,Petro Mart #15,I-270 EXIT 33,Saint Louis,MO,540,2.904,2.904,nan,nan,2389,38.4916,-90.46389,,"Petro Mart #15, I-270 EXIT 33, Saint Louis, MO",1,OK,done
65165,AMERIMART # 11,US-61,Jackson,MO,275,3.299,3.299,37.3792,-89.6522,2390,37.36646,-89.63791,,"AMERIMART # 11, US-61, Jackson, MO",1,OK,done
65171,SIGNAL FOOD STORE #110,US-60 & SR-5,Mansfield,MO,535,3.02566666,3.02566666,37.1102,-92.5804,2391,37.11361,-92.59947,,"SIGNAL FOOD STORE #110, US-60 & SR-5, Mansfield, MO",1,OK,done
65177,KUM & GO #0497,US-60/SR-413 & CR-M,Republic,MO,535,3.079,3.079,37.1452,-93.4446,2392,1.33437,103.74367,,"KUM & GO #0497, US-60/SR-413 & CR-M, Republic, MO",1,OK,done
65178,WILD BILLS TRAVEL CENTER,US-65 & SR-14,Ridgedale,MO,535,3.199,3.199,nan,nan,2393,36.50042,-93.223,,"WILD BILLS TRAVEL CENTER, US-65 & SR-14, Ridgedale, MO",1,OK,done
65180,TREX MART #11,"I-29, EXIT 65 & US-59",Savannah,MO,400,2.999,2.999,39.9391,-94.8279,2394,39.96905,-94.97238,,"TREX MART #11, I-29, EXIT 65 & US-59, Savannah, MO",1,OK,done
65188,GAS MART,"US-78, EXIT 14 & SR-309",Byhalia,MS,435,2.97233333,2.97233333,34.869,-89.689,2395,34.87419,-89.6885,,"GAS MART, US-78, EXIT 14 & SR-309, Byhalia, MS",1,OK,done
65192,CIRCLE K #2723396,US-49,Collins,MS,620,3.879,3.879,31.6469,-89.5669,2396,31.62243,-89.6433,,"CIRCLE K #2723396, US-49, Collins, MS",1,OK,done
65194,CIRCLE K #2723401,US-98 BYP/SR-44 & SR-13,Columbia,MS,620,3.33233333,3.33233333,31.2564,-89.8266,2397,31.2367,-89.84358,,"CIRCLE K #2723401, US-98 BYP/SR-44 & SR-13, Columbia, MS",1,OK,done
65197,SINGH PETRO,US-11,Ellisville,MS,620,3.059,3.059,31.5969,-89.2091,2398,31.61787,-89.18728,,"SINGH PETRO, US-11, Ellisville, MS",1,OK,done
65198,CIRCLE K #2723437,US-49,Florence,MS,760,2.89566666,2.89566666,32.1557,-90.1225,2399,32.15503,-90.1238,,"CIRCLE K #2723437, Florence, MS",3,OK,done
65204,SHELL GAS MART,US-82,Mathiston,MS,576,3.36566666,3.36566666,33.5391,-89.1275,2400,33.53968,-89.11418,,"SHELL GAS MART, US-82, Mathiston, MS",1,OK,done
65212,Taters #2,US-98 & SR-29,New Augusta,MS,620,3.31566666,3.31566666,31.2036,-89.0272,2401,31.20098,-89.03449,,"Taters #2, US-98 & SR-29, New Augusta, MS",1,OK,done
65213,CIRCLE K #2723390,US-98,New Augusta,MS,620,3.199,3.199,31.2036,-89.0272,2402,31.20107,-89.04126,,"CIRCLE K #2723390, US-98, New Augusta, MS",1,OK,done
65214,NEWTON CROSSING,"I-20, EXIT 109 & SR-15",Newton,MS,705,3.249,3.249,32.3296,-89.1534,2403,32.36193,-89.12958,,"NEWTON CROSSING, I-20, EXIT 109 & SR-15, Newton, MS",1,OK,done
65216,STUCKEYS EXPRESS,US-43S,Pelahatchie,MS,760,3.199,3.199,32.3148,-89.8083,2404,32.31651,-89.78793,,"STUCKEYS EXPRESS, US-43S, Pelahatchie, MS",1,OK,done
