OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
72680,RACEWAY #6990,US-98,Foley,AL,155,3.07566666,3.07566666,30.3983,-87.665,6422,30.44995,-87.66564,,"RACEWAY #6990, US-98, Foley, AL",1,OK,done
72681,MAVERIK #691,I-76 EXIT 3,Denver,CO,800,3.284,3.284,39.762,-104.8758,6423,39.98543,-104.81924,,"MAVERIK #691, I-76 EXIT 3, Denver, CO",1,OK,done
72682,Maverik #695,I-15 EXIT 276,American Fork,UT,835,3.349,3.349,40.3783,-111.7953,6424,40.3635,-111.79035,,"Maverik #695, I-15 EXIT 276, American Fork, UT",1,OK,done
72683,HUCKS FOOD & FUEL #383,SR-57,Evansville,IN,340,3.759,3.759,37.9881,-87.5341,6425,38.06398,-87.50985,,"HUCKS FOOD & FUEL #383, SR-57, Evansville, IN",1,OK,done
72685,CHUBBYS TRAVEL CENTER,"I-35, Exit 127",Natalia,TX,740,2.97233333,2.97233333,29.1876,-98.8524,6426,29.1857,-98.84106,,"CHUBBYS TRAVEL CENTER, I-35, Exit 127, Natalia, TX",1,OK,done
72687,Kwik Trip #1203,US-71 & Airport Rd,Redwood Falls,MN,425,3.349,3.349,44.547,-95.1031,6427,44.54197,-95.07774,,"Kwik Trip #1203, US-71 & Airport Rd, Redwood Falls, MN",1,OK,done
72688,SHEETZ #772,I-70 EXIT 59,Springfield,OH,317,3.054,3.054,39.93,-83.7959,6428,39.89337,-83.7271,,"SHEETZ #772, I-70 EXIT 59, Springfield, OH",1,OK,done
72689,ROAD RANGER #285,I-10 EXIT 605,Seguin,TX,740,3.11066666,3.11066666,29.5891,-97.9676,6429,31.0109,-97.178,,"ROAD RANGER #285, I-10 EXIT 605, Seguin, TX",1,OK,done
72690,Noble East Lyme,"I-95, EXIT 75",East Lyme,CT,100,3.759,3.759,nan,nan,6430,41.33919,-72.18567,,"Noble East Lyme, I-95, EXIT 75, East Lyme, CT",1,OK,done
72691,KUM & GO #2402,US 60,Springfield,MO,535,3.17566666,3.17566666,37.1943,-93.2916,6431,37.18227,-93.33077,,"KUM & GO #2402, US 60, Springfield, MO",1,OK,done
