OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
67628,LOVES TRAVEL STOP #394,"I-65,EXIT 230",Demotte,IN,365,3.51233333,3.51233333,nan,nan,3380,41.14393,-87.261,,"LOVES TRAVEL STOP #394, I-65,EXIT 230, Demotte, IN",1,OK,done
67629,KWIK TRIP #681,"I-94, EXIT 205",Saint Michael,MN,451,3.29733333,3.29733333,nan,nan,3381,45.21739,-93.59834,,"KWIK TRIP #681, I-94, EXIT 205, Saint Michael, MN",1,OK,done
67630,KWIK TRIP #630,US-151/SR-32/SR-57,Chilton,WI,582,3.36566666,3.36566666,44.0293,-88.1625,3382,44.03077,-88.16307,,"KWIK TRIP #630, US-151/SR-32/SR-57, Chilton, WI",1,OK,done
67634,54 TRUCK STOP,US-54,Mullinville,KS,357,3.46566666,3.46566666,37.5885,-99.4754,3383,37.5809,-99.47453,,"54 TRUCK STOP, US-54, Mullinville, KS",1,OK,done
67635,LOVES TRAVEL STOP #456,I-280 EXIT 1B,Perrysburg,OH,550,3.76066666,3.76066666,41.5377,-83.6413,3384,41.53712,-83.46659,,"LOVES TRAVEL STOP #456, I-280 EXIT 1B, Perrysburg, OH",1,OK,done
67636,LOVES TRAVEL STOPS #258,"I-35, EXIT 183",Ottawa,KS,336,3.251,3.263,38.5996,-95.2636,3385,38.57268,-95.26595,,"LOVES TRAVEL STOPS #258, I-35, EXIT 183, Ottawa, KS",1,OK,done
67637,Power Gas & Truck Stop,US-1/US-9/US-46 & SR-5,Palisades Park,NJ,115,3.219,3.219,40.8472,-73.9966,3386,40.8414,-73.99879,,"Power Gas & Truck Stop, US-1/US-9/US-46 & SR-5, Palisades Park, NJ",1,OK,done
67641,DANIEL BOONE TRAVEL CENTER,US-23 /US-421/US-58 & SR-871,Duffield,VA,405,3.55733333,3.55733333,36.7196,-82.796,3387,36.71075,-82.80691,,"DANIEL BOONE TRAVEL CENTER, US-23 /US-421/US-58 & SR-871, Duffield, VA",1,OK,done
67642,GO MART FOOD STORE #103,SR-16 & CR 50/39,Ellenboro,WV,44,3.699,3.699,39.2678,-81.0551,3388,39.26431,-81.05621,,"GO MART FOOD STORE #103, SR-16 & CR 50/39, Ellenboro, WV",1,OK,done
67643,QUALITY MART #62,I-77 EXIT 82,Jonesville,NC,65,2.859,2.859,36.2336,-80.8351,3389,36.23866,-80.81513,,"QUALITY MART #62, I-77 EXIT 82, Jonesville, NC",1,OK,done
